Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
09/13/2012,F (Jan 13),22.65,22.75,21.20,21.47,21.50,-1.15,10100,38,37153
09/14/2012,F (Jan 13),21.05,21.70,20.60,21.56,21.60,0.10,12750,32,39317
09/17/2012,F (Jan 13),21.54,21.55,21.00,21.39,21.40,-0.20,8717,0,38561
09/18/2012,F (Jan 13),21.35,21.60,20.89,20.95,20.95,-0.45,7023,0,38993
09/19/2012,F (Jan 13),20.75,21.05,20.50,20.78,20.80,-0.15,8428,0,39732
09/20/2012,F (Jan 13),20.90,21.17,20.70,20.87,20.90,0.10,7332,0,39511
09/21/2012,F (Jan 13),20.70,21.00,20.55,20.92,20.95,0.05,6005,0,38981
09/24/2012,F (Jan 13),20.90,20.90,20.45,20.72,20.70,-0.25,6820,25,38569
09/25/2012,F (Jan 13),20.55,21.35,20.33,21.08,21.10,0.40,8731,0,37089
09/26/2012,F (Jan 13),21.05,21.90,21.05,21.43,21.45,0.35,8267,113,36100
09/27/2012,F (Jan 13),21.20,21.30,20.45,20.72,20.75,-0.70,7638,0,35586
09/28/2012,F (Jan 13),21.10,21.12,20.65,20.91,20.90,0.15,8500,55,35105
10/01/2012,F (Jan 13),20.70,21.00,20.30,20.82,20.85,-0.05,8215,0,35982
10/02/2012,F (Jan 13),20.75,20.95,20.44,20.66,20.70,-0.15,6405,0,36128
10/03/2012,F (Jan 13),20.80,20.85,20.26,20.49,20.50,-0.20,8082,0,37483
10/04/2012,F (Jan 13),20.35,20.39,19.90,19.99,20.00,-0.50,6637,18,37358
10/05/2012,F (Jan 13),19.90,20.02,19.45,19.81,19.85,-0.15,8883,0,38521
10/08/2012,F (Jan 13),20.02,20.05,19.80,19.81,19.85,0.00,5992,0,39360
10/09/2012,F (Jan 13),19.81,20.37,19.65,20.13,20.15,0.30,8109,12,39018
10/10/2012,F (Jan 13),20.20,20.45,20.03,20.38,20.40,0.25,9556,0,39291
10/11/2012,F (Jan 13),20.20,20.25,19.68,19.92,19.95,-0.45,9216,0,39190
10/12/2012,F (Jan 13),19.80,20.15,19.54,20.02,20.05,0.10,15825,0,38546
10/15/2012,F (Jan 13),19.70,20.14,19.50,19.68,19.70,-0.35,11144,1,38597
10/16/2012,F (Jan 13),19.35,19.47,19.14,19.20,19.20,-0.50,8609,4,38875
10/17/2012,F (Jan 13),19.10,19.44,18.95,19.00,19.00,-0.20,9766,87,39086
10/18/2012,F (Jan 13),19.05,19.40,18.90,19.17,19.20,0.20,10934,0,41209
10/19/2012,F (Jan 13),19.20,20.17,19.10,19.99,20.00,0.80,12850,0,42235
10/22/2012,F (Jan 13),19.75,20.15,19.50,19.57,19.60,-0.40,12664,0,43311
10/23/2012,F (Jan 13),20.05,21.25,20.05,20.60,20.60,1.00,16339,0,42356
10/24/2012,F (Jan 13),20.38,20.55,20.08,20.33,20.35,-0.25,12077,0,42204
10/25/2012,F (Jan 13),20.05,20.54,19.85,20.15,20.15,-0.20,11845,0,42066
